Bus,busmap
way/217899005-220,PL0 0
way/22720647-380,DE0 0
way/22761692-380,DE0 0
way/22761839-380,DE0 0
way/22765517-380,DE0 0
way/22766160-380,DE0 0
way/22767509-380,DE0 0
way/22796434-220,DE0 0
way/228154083-220,PL0 0
way/22944791-220,DE0 0
way/22960899-380,DE0 0
way/22964137-380,DE0 0
way/22973052-220,DE0 34
way/23022100-380,DE0 0
way/23067006-380,DE0 0
way/23084554-380,DE0 0
way/23192640-220,DE0 0
way/23284340-380,DE0 0
way/23380800-380,DE0 0
way/234171369-380,DE0 35
way/23583867-380,DE0 36
way/23641079-380,DE0 0
way/23744346-220,DE0 0
way/238640596-400,PL0 0
way/23899043-380,DE0 0
way/24042358-380,DE0 0
way/24158385-220,DE0 0
way/241842600-400,PL0 0
way/24230738-380,DE0 0
way/24237879-220,DE0 0
way/24258096-380,DE0 0
way/24262656-380,DE0 0
way/24267175-220,DE0 0
way/24272339-380,DE0 0
way/24413992-380,DE0 0
way/24462426-380,DE0 0
way/24478889-380,DE0 0
way/24479003-380,DE0 0
way/24479984-380,DE0 0
way/24493551-380,DE0 0
way/24502420-380,DE0 0
way/24604789-380,DE0 0
way/24667346-380,DE0 0
way/24685992-380,DE0 0
way/24705761-380,DE0 0
way/24757392-380,DE0 0
way/24757393-380,DE0 0
way/24757833-380,DE0 0
way/24758329-380,DE0 0
way/24759324-220,DE0 0
way/24765111-220,DE0 0
way/24768051-220,DE0 0
way/24799890-380,DE0 0
way/24839976-380,DE0 0
way/24921206-380,DE0 0
way/24976300-380,DE0 0
way/25051880-220,DE0 0
way/251239544-400,PL0 0
way/25306752-380,DE0 0
way/25306938-380,DE0 0
way/254235846-400,PL0 0
way/254938713-400,PL0 0
way/255232597-220,PL0 0
way/255277953-400,PL0 0
way/255293400-400,PL0 0
way/255293403-400,PL0 0
way/255314292-400,PL0 0
way/255972326-400,PL0 0
way/255973806-400,PL0 0
way/25746125-380,DE0 37
way/25786404-380,DE0 0
way/25943440-380,DE0 0
way/259561755-380,DE0 0
way/26143409-400,CZ0 0
way/26245195-380,DE0 0
way/26260052-380,DE0 0
way/26383042-380,DE0 0
way/26404600-380,DE0 0
way/26452107-400,DK0 0
way/26472665-380,DE0 38
way/26474759-380,DE0 0
way/26593929-380,DE0 0
way/266684854-380,DE0 0
way/26927264-380,DE0 0
way/26931725-400,DK0 0
way/26953215-400,DK0 0
way/27124619-220,DE0 0
way/27149550-380,DE0 39
way/274603394-380,DE0 40
way/274621059-220,DE0 0
way/274630377-380,DE0 0
way/275466323-380,DE0 0
way/276291999-400,PL0 0
way/27646106-220,DE0 0
way/27739871-380,DE0 0
way/27849030-400,CZ0 0
